Sample,X,Y,Z
737,-0.1390,0.7170,-0.0493
738,0.1580,1.2966,-0.2847
739,0.2854,1.4526,-0.1609
740,0.0304,0.9983,0.0217
741,-0.1989,0.6414,-0.0070
742,-0.2586,0.5406,0.0665
743,0.3558,1.1308,0.0945
744,0.3742,1.4286,0.0715
745,0.1202,1.2729,0.1365
746,-0.4224,0.5386,-0.1017
747,-0.4410,0.4500,0.0229
748,0.2240,1.1180,0.0849
749,0.2913,1.3903,0.1154
750,0.3283,1.0087,0.0256
751,-0.2230,0.8869,-0.0331
752,-0.2909,0.7054,-0.3002
753,0.1845,0.9720,-0.1887
754,0.3978,1.6719,0.0203
755,0.2486,0.9747,-0.0297
756,-0.1777,0.5076,-0.0969
757,-0.3142,0.7751,0.0082
758,-0.0399,1.0544,-0.1167
759,0.2226,1.2986,-0.0261
760,0.2208,1.0894,0.0815
761,0.0282,0.7145,0.1506
762,-0.2646,0.7121,0.0568
763,-0.0416,1.0861,-0.1192
764,0.3379,1.5173,-0.1024
765,0.1459,1.3003,0.0495
766,0.0082,0.5580,0.0351
767,-0.1914,0.4227,-0.0204
